country,year,district,party,dy,dpy,magnitude,logM,name,female,prerank,rankpost,rankdif,pvotes_perc,dvotes_perc,topTier,incumbent,fcopartisan_p,female_perc,distTop,topTierInd,rankdif_mag,roomUPmag
ecu,2002,azuay,MPD/PS-FA,azuay-2002,azuay-MPD/PS-FA-2002,5,1.609437912,CARRASCO VICUÑA CARLOS MARX                                                                        ,0,2,2,0,26.70043415,2.52038022,1,0,0.4,0.414285714,0.071428571,0,0,0.2
ecu,2002,azuay,MPD/PS-FA,azuay-2002,azuay-MPD/PS-FA-2002,5,1.609437912,MARIN CASTANIER ROLANDO BOLIVAR                                                                     ,0,5,4,-1,12.86916439,1.214781272,1,0,0.4,0.414285714,0.071428571,0,-0.2,0.8
ecu,2002,azuay,PSP/MUPP,azuay-2002,azuay-PSP/MUPP-2002,5,1.609437912,DE JESUS SAQUINAULA GLORIA BEATRIZ                                                                  ,1,2,2,0,20.01188191,2.215546519,0,0,0.6,0.414285714,0.071428571,0,0,0.2
ecu,2002,azuay,PLRE,azuay-2002,azuay-PLRE-2002,5,1.609437912,MATUTE TAPIA JULIO CESAR                                                                            ,0,5,5,0,13.88511494,0.323174318,0,0,0.4,0.414285714,0.071428571,0,0,0.8
ecu,2002,azuay,PLRE,azuay-2002,azuay-PLRE-2002,5,1.609437912,PEREZ JARAMILLO HECTOR HUMBERTO                                                                     ,0,1,1,0,35.93826422,0.836458617,0,0,0.4,0.414285714,0.071428571,0,0,0
ecu,2002,azuay,MPD/PS-FA,azuay-2002,azuay-MPD/PS-FA-2002,5,1.609437912,PORTILLA ALVAREZ ORLANDO EFREN                                                                      ,0,4,5,1,12.44305087,1.174558402,1,0,0.4,0.414285714,0.071428571,0,0.2,0.6
ecu,2002,azuay,PRIAN,azuay-2002,azuay-PRIAN-2002,5,1.609437912,TELLO CASTRO TELMO LEOPOLDO                                                                         ,0,1,1,0,23.7110547,1.949291357,0,0,0.4,0.414285714,0.071428571,0,0,0
ecu,2002,azuay,ID,azuay-2002,azuay-ID-2002,5,1.609437912,MEDINA ZEA XIMENA INES                                                                              ,1,4,4,0,17.46988181,5.80891607,0,0,0.4,0.414285714,0.071428571,0,0,0.6
ecu,2002,azuay,MPD/PS-FA,azuay-2002,azuay-MPD/PS-FA-2002,5,1.609437912,MERCHAN MARIA GERARDINA                                                                             ,1,3,3,0,13.67315217,1.29067348,1,0,0.4,0.414285714,0.071428571,0,0,0.4
ecu,2002,azuay,ID,azuay-2002,azuay-ID-2002,5,1.609437912,MONSALVE VINTIMILLA DIEGO FRANCISCO                                                                 ,0,2,2,0,19.5263256,6.492704862,0,0,0.4,0.414285714,0.071428571,0,0,0.2
ecu,2002,azuay,PLRE,azuay-2002,azuay-PLRE-2002,5,1.609437912,CARRASCO WEBSTER ROSANA                                                                             ,1,4,4,0,14.70028803,0.34214737,0,0,0.4,0.414285714,0.071428571,0,0,0.6
ecu,2002,azuay,PSP/MUPP,azuay-2002,azuay-PSP/MUPP-2002,5,1.609437912,LOPEZ MORENO MIGUEL EDUARDO                                                                         ,0,1,1,0,24.18997349,2.678109525,0,0,0.6,0.414285714,0.071428571,0,0,0
ecu,2002,azuay,MPD/PS-FA,azuay-2002,azuay-MPD/PS-FA-2002,5,1.609437912,LARRIVA GONZALEZ TERESA GUADALUPE                                                                   ,1,1,1,0,34.31419842,3.239079428,1,0,0.4,0.414285714,0.071428571,1,0,0
ecu,2002,azuay,ID,azuay-2002,azuay-ID-2002,5,1.609437912,CEVALLOS MUÑOZ ANA LUCIA                                                                           ,1,3,3,0,18.7853059,6.24630816,0,0,0.4,0.414285714,0.071428571,0,0,0.4
ecu,2002,azuay,TSI,azuay-2002,azuay-TSI-2002,5,1.609437912,CEDILLO GUERRERO ROSA ENRIQUETA                                                                     ,1,5,5,0,18.59858367,0.189351058,0,0,0.4,0.414285714,0.071428571,0,0,0.8
ecu,2002,azuay,DP-UDC,azuay-2002,azuay-DP-UDC-2002,5,1.609437912,ASTUDILLO ASTUDILLO GERMAN BOLIVAR                                                                  ,0,1,1,0,28.63336047,1.913116071,0,0,0.4,0.414285714,0.071428571,0,0,0
ecu,2002,azuay,PSP/MUPP,azuay-2002,azuay-PSP/MUPP-2002,5,1.609437912,ANGUMBA AGUILAR PEDRO JAVIER                                                                        ,0,5,5,0,18.27415227,2.023159772,0,0,0.6,0.414285714,0.071428571,0,0,0.8
ecu,2002,azuay,PLRE,azuay-2002,azuay-PLRE-2002,5,1.609437912,MOLINA ALVARADO MARTHA EULALIA                                                                      ,1,2,3,1,17.59686974,0.409564948,0,0,0.4,0.414285714,0.071428571,0,0.2,0.2
ecu,2002,azuay,PLRE,azuay-2002,azuay-PLRE-2002,5,1.609437912,CORDERO CORDERO JORGE ALEJANDRO                                                                     ,0,3,2,-1,17.87946307,0.416142273,0,0,0.4,0.414285714,0.071428571,0,-0.2,0.4
ecu,2002,azuay,MPS,azuay-2002,azuay-MPS-2002,5,1.609437912,ORDOÑES RIVERA FABIOLA ALEXANDRA                                                                   ,1,4,3,-1,18.03486895,0.592718143,0,0,0.4,0.414285714,0.071428571,0,-0.2,0.6
ecu,2002,azuay,DP-UDC,azuay-2002,azuay-DP-UDC-2002,5,1.609437912,PEÑAHERRERA CALLE ELIZABETH DEL ROSARIO                                                            ,1,4,4,0,17.6835848,1.181515188,0,0,0.4,0.414285714,0.071428571,0,0,0.6
ecu,2002,azuay,PRIAN,azuay-2002,azuay-PRIAN-2002,5,1.609437912,MUÑOZ CAMPOVERDE JULIA NARCISA                                                                     ,1,3,5,2,17.80598508,1.463834201,0,0,0.4,0.414285714,0.071428571,0,0.4,0.4
ecu,2002,azuay,TSI,azuay-2002,azuay-TSI-2002,5,1.609437912,GUALPA PACHECO ROSA MARIA                                                                           ,1,2,2,0,19.50552864,0.19858461,0,0,0.4,0.414285714,0.071428571,0,0,0.2
ecu,2002,azuay,CFP,azuay-2002,azuay-CFP-2002,5,1.609437912,SEGARRA RUIZ ROMMEL JOSE                                                                            ,0,4,4,0,18.02916483,0.206426805,0,0,0.4,0.414285714,0.071428571,0,0,0.6
ecu,2002,azuay,CFP,azuay-2002,azuay-CFP-2002,5,1.609437912,CHERREZ BERNAL ESTHELA CATALINA                                                                     ,1,2,1,-1,23.79584622,0.272453026,0,0,0.4,0.414285714,0.071428571,0,-0.2,0.2
ecu,2002,azuay,PSC,azuay-2002,azuay-PSC-2002,5,1.609437912,DIAZ HEREDIA GABRIEL FELIPE                                                                         ,0,5,5,0,17.75460496,1.475218032,0,0,0.4,0.414285714,0.071428571,0,0,0.8
ecu,2002,azuay,PRE,azuay-2002,azuay-PRE-2002,5,1.609437912,LEON CASTILLO JAIME SILVERIO                                                                        ,0,1,1,0,26.22322783,1.290041045,0,0,0.4,0.414285714,0.071428571,0,0,0
ecu,2002,azuay,TSI,azuay-2002,azuay-TSI-2002,5,1.609437912,MOLINA BELTRAN MARCELO HERNAN                                                                       ,0,3,3,0,18.99614859,0.193398643,0,0,0.4,0.414285714,0.071428571,0,0,0.4
ecu,2002,azuay,PRIAN,azuay-2002,azuay-PRIAN-2002,5,1.609437912,ABRIL DELGADO JORGE ORLANDO                                                                         ,0,5,3,-2,18.8445265,1.549212935,0,0,0.4,0.414285714,0.071428571,0,-0.4,0.8
ecu,2002,azuay,PRE,azuay-2002,azuay-PRE-2002,5,1.609437912,MARTINEZ SARMIENTO ENMA KAYRA                                                                       ,1,3,2,-1,19.09083897,0.939166071,0,0,0.4,0.414285714,0.071428571,0,-0.2,0.4
ecu,2002,azuay,TSI,azuay-2002,azuay-TSI-2002,5,1.609437912,CONTRERAS VIDAL RAUL OSWALDO                                                                        ,0,4,4,0,18.89675736,0.192386747,0,0,0.4,0.414285714,0.071428571,0,0,0.6
ecu,2002,azuay,UN-UNO,azuay-2002,azuay-UN-UNO-2002,5,1.609437912,PERALTA MARIN SANDRA LORENA                                                                         ,1,4,4,0,17.54503963,0.461930571,0,0,0.4,0.414285714,0.071428571,0,0,0.6
ecu,2002,azuay,PRE,azuay-2002,azuay-PRE-2002,5,1.609437912,JARA IDROVO ESTHER MARIA                                                                            ,1,4,4,0,18.37091507,0.903749707,0,0,0.4,0.414285714,0.071428571,0,0,0.6
ecu,2002,azuay,DP-UDC,azuay-2002,azuay-DP-UDC-2002,5,1.609437912,GARCIA JARAMILLO SONIA DEL CARMEN                                                                   ,1,3,3,0,17.91075857,1.196693629,0,0,0.4,0.414285714,0.071428571,0,0,0.4
ecu,2002,azuay,PSC,azuay-2002,azuay-PSC-2002,5,1.609437912,MONSALVE AGUILERA MIGUEL ALFREDO                                                                    ,0,1,1,0,26.09225148,2.167987402,0,0,0.4,0.414285714,0.071428571,0,0,0
ecu,2002,azuay,CFP,azuay-2002,azuay-CFP-2002,5,1.609437912,CASTILLO NUNEZ ESTUARDO VITELIO                                                                     ,0,1,2,1,22.60273973,0.258792428,0,0,0.4,0.414285714,0.071428571,0,0.2,0
ecu,2002,azuay,TSI,azuay-2002,azuay-TSI-2002,5,1.609437912,BERREZUETA BERREZUETA MANUEL RUBEN OSWALDO                                                          ,0,1,1,0,24.00298174,0.244372909,0,0,0.4,0.414285714,0.071428571,0,0,0
ecu,2002,azuay,UN-UNO,azuay-2002,azuay-UN-UNO-2002,5,1.609437912,BRAVO VIDAL OSCAR ALEJANDRO                                                                         ,0,5,5,0,16.98774922,0.447258078,0,0,0.4,0.414285714,0.071428571,0,0,0.8
ecu,2002,azuay,DP-UDC,azuay-2002,azuay-DP-UDC-2002,5,1.609437912,ROBALINO PEÑA ERNESTO MARCELO                                                                      ,0,2,2,0,19.89284971,1.329125532,0,0,0.4,0.414285714,0.071428571,0,0,0.2
ecu,2002,azuay,PSP/MUPP,azuay-2002,azuay-PSP/MUPP-2002,5,1.609437912,CORRALES ORTEGA ROSA ALICIA                                                                         ,1,3,3,0,18.93565488,2.096395753,0,0,0.6,0.414285714,0.071428571,0,0,0.4
ecu,2002,azuay,PSC,azuay-2002,azuay-PSC-2002,5,1.609437912,BARZALLO SEADE MARIA AGUSTA                                                                         ,1,4,4,0,17.98751713,1.494570545,0,0,0.4,0.414285714,0.071428571,0,0,0.6
ecu,2002,azuay,DP-UDC,azuay-2002,azuay-DP-UDC-2002,5,1.609437912,CASTILLO MARIN HUGO PAULINO                                                                         ,0,5,5,0,15.87944645,1.060973065,0,0,0.4,0.414285714,0.071428571,0,0,0.8
ecu,2002,azuay,ID,azuay-2002,azuay-ID-2002,5,1.609437912,ORDOÑEZ ARAY DARIO ALBERTO                                                                         ,0,5,5,0,17.23251205,5.729988173,0,0,0.4,0.414285714,0.071428571,0,0,0.8
ecu,2002,azuay,PRIAN,azuay-2002,azuay-PRIAN-2002,5,1.609437912,VERA RODAS ROLANDO PATRICIO                                                                         ,0,2,2,0,21.60320025,1.776004149,0,0,0.4,0.414285714,0.071428571,0,0,0.2
ecu,2002,azuay,MCNP,azuay-2002,azuay-MCNP-2002,5,1.609437912,VILLAVICENCIO PALACIOS JORGE OSWALDO                                                                ,0,1,1,0,32.52317199,1.797506941,0,0,0.4,0.414285714,0.071428571,0,0,0
ecu,2002,azuay,PRE,azuay-2002,azuay-PRE-2002,5,1.609437912,PALACIOS CORDERO PATRICIO ANTONIO                                                                   ,0,5,5,0,17.89525107,0.88034961,0,0,0.4,0.414285714,0.071428571,0,0,0.8
ecu,2002,azuay,CFP,azuay-2002,azuay-CFP-2002,5,1.609437912,TORRES RIERA LUIS ALBERTO                                                                           ,0,5,5,0,15.53247901,0.17784074,0,0,0.4,0.414285714,0.071428571,0,0,0.8
ecu,2002,azuay,PRE,azuay-2002,azuay-PRE-2002,5,1.609437912,GUILLERMO RIOS JORGE VICENTE                                                                        ,0,2,3,1,18.41976705,0.906152961,0,0,0.4,0.414285714,0.071428571,0,0.2,0.2
